#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
3572599000 ; 0.000850703 ; 3.28339 ; 0 ; 0
3572687000 ; 0.00146487 ; 3.28369 ; 0 ; 0
3572773000 ; 0.00168612 ; 3.28514 ; 0 ; 0
3572864000 ; 0.00157168 ; 3.2827 ; 0 ; 0
3572958000 ; 0.00130847 ; 3.2827 ; 0 ; 0
3573051000 ; 0.0014992 ; 3.28285 ; 0 ; 0
3573143000 ; 0.00142291 ; 3.28316 ; 0 ; 0
3573238000 ; 0.00138476 ; 3.28308 ; 0 ; 0
3573324000 ; 0.00111773 ; 3.28308 ; 0 ; 0
3573412000 ; 0.0013962 ; 3.28285 ; 0 ; 0
3573505000 ; 0.00176242 ; 3.28316 ; 0 ; 0
3573592000 ; 0.00112155 ; 3.28484 ; 0 ; 0
3573678000 ; 0.00102618 ; 3.283 ; 0 ; 0
3573777000 ; 0.000949885 ; 3.2827 ; 0 ; 0
3573872000 ; 0.0011864 ; 3.28537 ; 0 ; 0
3573965000 ; 0.00180819 ; 3.28293 ; 0 ; 0
3574053000 ; 0.00165179 ; 3.28293 ; 0 ; 0
3574147000 ; 0.00139239 ; 3.28316 ; 0 ; 0
3574233000 ; 0.00141528 ; 3.28278 ; 0 ; 0
3574319000 ; 0.00144961 ; 3.28453 ; 0 ; 0
3574418000 ; 0.0013428 ; 3.28278 ; 0 ; 0
3574505000 ; 0.00131991 ; 3.28346 ; 0 ; 0
3574589000 ; 0.00123599 ; 3.283 ; 0 ; 0
3574676000 ; 0.00215151 ; 3.28293 ; 0 ; 0
3574763000 ; 0.00140765 ; 3.28308 ; 0 ; 0
3574850000 ; 0.000801112 ; 3.28339 ; 0 ; 0
3574945000 ; 0.00149539 ; 3.28346 ; 0 ; 0
3575038000 ; 0.0016022 ; 3.2827 ; 0 ; 0
3575131000 ; 0.00209429 ; 3.28293 ; 0 ; 0
3575218000 ; 0.00174716 ; 3.28285 ; 0 ; 0
3575312000 ; 0.0015755 ; 3.283 ; 0 ; 0
3575403000 ; 0.0015755 ; 3.2827 ; 0 ; 0
3575490000 ; 0.00172808 ; 3.283 ; 0 ; 0
3575577000 ; 0.0016556 ; 3.28339 ; 0 ; 0
3575663000 ; 0.00155261 ; 3.28285 ; 0 ; 0
3575757000 ; 0.00145724 ; 3.28293 ; 0 ; 0
3575850000 ; 0.00169757 ; 3.28285 ; 0 ; 0
3575937000 ; 0.000957514 ; 3.28575 ; 0 ; 0
3576023000 ; 0.0012131 ; 3.28285 ; 0 ; 0
3576117000 ; 0.00177767 ; 3.28316 ; 0 ; 0
3576203000 ; 0.00185397 ; 3.28445 ; 0 ; 0
3576296000 ; 0.00116732 ; 3.28438 ; 0 ; 0
3576384000 ; 0.00116732 ; 3.28354 ; 0 ; 0
3576471000 ; 0.00133517 ; 3.28331 ; 0 ; 0
3576558000 ; 0.00111773 ; 3.28331 ; 0 ; 0
3576652000 ; 0.00151065 ; 3.28293 ; 0 ; 0
3576744000 ; 0.00154116 ; 3.28323 ; 0 ; 0
3576836000 ; 0.0015755 ; 3.283 ; 0 ; 0
3576930000 ; 0.00125888 ; 3.28285 ; 0 ; 0
3577016000 ; 0.00109866 ; 3.28346 ; 0 ; 0
3577104000 ; 0.00185015 ; 3.28438 ; 0 ; 0
3577195000 ; 0.00132373 ; 3.283 ; 0 ; 0
3577282000 ; 0.00137713 ; 3.28537 ; 0 ; 0
3577379000 ; 0.00133135 ; 3.28278 ; 0 ; 0
3577465000 ; 0.00115969 ; 3.28293 ; 0 ; 0
3577550000 ; 0.00127032 ; 3.2843 ; 0 ; 0
3577651000 ; 0.00119403 ; 3.28278 ; 0 ; 0
3577737000 ; 0.000930812 ; 3.28293 ; 0 ; 0
3577824000 ; 0.00168612 ; 3.28308 ; 0 ; 0
3577912000 ; 0.00122836 ; 3.2827 ; 0 ; 0
3578006000 ; 0.0016022 ; 3.2827 ; 0 ; 0
3578093000 ; 0.00200274 ; 3.28537 ; 0 ; 0
3578179000 ; 0.00151446 ; 3.28568 ; 0 ; 0
3578273000 ; 0.00110629 ; 3.283 ; 0 ; 0
3578365000 ; 0.00146105 ; 3.28278 ; 0 ; 0
3578453000 ; 0.00120547 ; 3.28293 ; 0 ; 0
3578540000 ; 0.00128558 ; 3.283 ; 0 ; 0
3578634000 ; 0.00140383 ; 3.28293 ; 0 ; 0
3578727000 ; 0.00165942 ; 3.2827 ; 0 ; 0
3578814000 ; 0.00101473 ; 3.28423 ; 0 ; 0
3578906000 ; 0.00146105 ; 3.28392 ; 0 ; 0
3578995000 ; 0.00187304 ; 3.28674 ; 0 ; 0
3579081000 ; 0.00119784 ; 3.28461 ; 0 ; 0
3579178000 ; 0.00119784 ; 3.28285 ; 0 ; 0
3579264000 ; 0.000877406 ; 3.28476 ; 0 ; 0
3579355000 ; 0.000923182 ; 3.28285 ; 0 ; 0
3579449000 ; 0.0012131 ; 3.2827 ; 0 ; 0
3579543000 ; 0.00161364 ; 3.28293 ; 0 ; 0
3579636000 ; 0.00128558 ; 3.28323 ; 0 ; 0
3579729000 ; 0.00138858 ; 3.283 ; 0 ; 0
3579822000 ; 0.00109103 ; 3.283 ; 0 ; 0
3579915000 ; 0.002121 ; 3.28316 ; 0 ; 0
3580015000 ; 0.00109866 ; 3.28339 ; 0 ; 0
3580109000 ; 0.00137713 ; 3.28308 ; 0 ; 0
3580195000 ; 0.00147631 ; 3.28323 ; 0 ; 0
3580282000 ; 0.00142291 ; 3.28323 ; 0 ; 0
3580368000 ; 0.0011864 ; 3.28285 ; 0 ; 0
3580463000 ; 0.00241854 ; 3.28331 ; 0 ; 0
3580549000 ; 0.00171282 ; 3.28316 ; 0 ; 0
3580638000 ; 0.00116732 ; 3.28316 ; 0 ; 0
3580732000 ; 0.00100711 ; 3.28293 ; 0 ; 0
3580818000 ; 0.00088885 ; 3.28293 ; 0 ; 0
3580913000 ; 0.00173571 ; 3.28621 ; 0 ; 0
3581006000 ; 0.00122073 ; 3.28293 ; 0 ; 0
3581092000 ; 0.00127032 ; 3.28323 ; 0 ; 0
3581185000 ; 0.00194171 ; 3.283 ; 0 ; 0
